Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Vine VC,https://vine.vc/,"San Francisco, CA, United States","usa,canada,uk,germany","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,6. Pre-IPO,5. Growth","We invest in the advancement of conscious health and wellbeing, with a focus on psychedelics (e.g., drug development, manufacturing, distribution) and psychedelic culture.",VC,$50000,$500000
VITALIZE Venture Capital,https://vitalize.vc/,"415 N. LaSalle Dr., Suite 504, Chicago, IL 60654",usa,"3. Early Revenue,2. Prototype",We invest in the Work Revolution: US-based B2B software startups in future of learning and future of work,VC,$250000,$500000
Vitruvian Partners,http://www.vitruvianpartners.com,UK,"canada,israel,uk,usa",4. Scaling,"We invest in primary and/or secondary capital in rapidly growing companies to support and accelerate growth. We target growth capital and management buyout deals, investing between €25m-€250m in companies typically valued between €75m-€1bn+.",VC,$25000000,$250000000
Volpe Ventures,http://www.volpeventures.com,"London, GB","uk,usa,spain,italy,france,chile,colombia,peru,argentina,portugal","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in underrepresented founders and founding teams building companies with passion,VC,$10000,$100000
Volta Ventures,https://www.volta.ventures/,"Gebroeders Vandeveldestraat 68, 9000 Gent","belgium,netherlands,luxembourg","2. Prototype,3. Early Revenue,4. Scaling","We invest in Benelux-based B2B SaaS. No minimum revenue, just a great team with ambitions in a large market",VC,$350000,$2300000
VU Venture Partners,https://www.vuventurepartners.com/,"500 Washington St, 340, San Francisco, California 94111, US","ghana,kenya,nigeria,south africa,brazil,canada,colombia,mexico,usa,china,india,japan,malaysia,philippines,singapore,south korea,france,germany,italy,portugal,russia,spain,sweden,switzerland,uk,israel","3. Early Revenue,4. Scaling,5. Growth","We invest in  7 vertical teams, including Consumer & Enterprise (two generalist teams) and five more vertical focused teams each with their industry expertise: FinTech (Financial Services, Crypto, & NFTs), Frontier (AI, Robotics, Advanced Materials, & SpaceTech), Healthcare (HealthTech, Medical Devices",VC,$100000,$1000000
Vulcan Capital,https://capital.vulcan.com/approach.aspx,"505 5th Ave S, Seattle, Washington 98104, USA","canada,israel,usa","3. Early Revenue,4. Scaling","Vulcan Capital has no defined limits on size or structure, but generally targets direct equity investments of $10 million to $100 million, as well as select smaller venture investments",Family office,$10000000,$100000000
W&W Brandpool,https://www.ww-brandpool.com,"Gutenbergstraße 30, Stuttgart, Baden-Württemberg 70176, DE","germany,switzerland,austria","4. Scaling,5. Growth","We invest in B2C and B2B2C startups covering the topic of precaution, such as Fintech, Mobility, Proptech, Edtech, Healthtech and all models targeting families.",Corporate VC,$1000000,$20000000
Wave Ventures,https://www.wave.ventures/,"Fredrikinkatu 42, Helsinki, 00100, FI","finland,sweden,denmark,norway,estonia,lithuania,latvia","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in startups solving millennial problems and startups emerging from the university ecosystem.,VC,$50000,$50000
WePlay Ventures,https://www.weplayventures.com/,"Kayisdagi St, Istanbul, Atasehir 34755, Turkey",turkey,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in gaming startups at early stage. ,VC,$75000,$500000
West Web Valley,https://west-web-valley.fr/,110 rue Charles Nungesser 29490 Guipavas,france,"2. Prototype,3. Early Revenue,4. Scaling",We invest in Western France in early stage companies with a digital focus in all economic sectors.,VC,$200000,$1000000
Wing Venture Capital,https://www.wing.vc/,480 Lytton Street Palo Alto CA 94301,"usa,israel,canada","2. Prototype,3. Early Revenue,4. Scaling",We invest in early-stage and stealth B2B companies focused on powering the modern enterprise—a digitally-native workplace built on data and powered by AI—often before revenue. ,VC,$50000,$10000000
Wix Capital,https://www.wix.com/wix-capital,"HaNamal 40, Tel Aviv-Yafo, Israel ","uk,usa,israel","3. Early Revenue,4. Scaling","We invest in startups that share Wix’s technology, innovation and development mindset, and offer synergy with our own growth strategy. We invest in startups that offer significant industry opportunities to shape the future of the web and that offer the potential to become strategic partners of Wix.",Corporate VC,$250000,$8000000
WOCstar Fund,https://www.wocstar.com,"New York, US",usa,"3. Early Revenue,4. Scaling","We invest in companies and technology that are redefining how we will Consume, Work & Learn, Build Wealth, & Create a Sustainable World.",VC,$200000,$2000000
World Fund,https://www.worldfund.vc/,"Gerichtstraße 23 (Hof 4) 13347 Berlin, Deutschland","uk,spain,france,germany,israel,portugal,sweden,switzerland,finland,norway,italy,ireland,poland,latvia,estonia,romania,greece","2. Prototype,3. Early Revenue,4. Scaling,5. Growth",We invest in climate tech with a focus on Europe & Israel.,VC,$200000,$10000000
XAnge,https://www.xange.fr/,"27, rue Marbeuf, Paris, France","france,germany,belgium,luxembourg,switzerland,austria","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in digital, deeptech & impact startups based in France or Germany in pre-seed, seed & serie A stages ",VC,$400000,$10000000
XFactor Ventures,https://www.xfactor.ventures/,"16 W 23rd St floor 5, New York, NY 10010","usa,uk,canada,mexico,colombia","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in companies with female founders pursuing billion-dollar opportunities,VC,$150000,$150000
XRC Labs,https://www.xrclabs.com/,"55 Water Street, Brooklyn, NY 11201","usa,uk,canada,israel","2. Prototype,3. Early Revenue,4. Scaling","We invest out of 3 funds from pre-seed to Series A in retail tech, supply chain, logistics, commerce enablement and innovative consumer goods.",VC,$100000,$2500000
Yara Ventures,https://yara.vc,"Unit 4a, Avonbeg Industrial Estate. Long Mile Road. Dublin 12. Ireland","spain,usa,israel","3. Early Revenue,4. Scaling","We invest in startups with tech focus, mainly DeepTech and FoodTech. Seed / early stage.",VC,$10000,$250000
Yellowdog,http://www.yellowdog.kr/,"4F, 21, Wangsimni-ro 6-gil, Seongdong-gu, Seoul, Korea  ","south korea,usa,singapore,vietnam","3. Early Revenue,4. Scaling","We invest in startups, from Pre-series A to series B, which have innovative potentials in four key impact domains - (1) climate solutions, (2) wellness and healthcare solutions, (3) education solutions, and (4) workstyle solutions. ",VC,$500000,$5000000
YYM Ventures,http://www.yemin-family.com,"Nashville, Tennessee, USA",israel,"2. Prototype,3. Early Revenue",We invest in early-stage cybersecurity startups  ,Family office,$200000,$2000000
Zane Venture Fund,https://zane.vc,"2275 N Marietta Street NW, Suite 270-184, Atlanta, GA 30318",usa,3. Early Revenue,"We invest in diverse entrepreneurs and teams who are building tech-enabled solutions primarily here in the southeast, opportunistically across the US.",VC,$100000,$500000
42CAP,https://www.42cap.com/,"Seitzstr. 23, 80538 München, Germany","germany,france,spain,austria,belgium,bulgaria,croatia,cyprus,czech republic,greece,georgia,finland,estonia,denmark,hungary,iceland,ireland,italy,liechtenstein,luxembourg,latvia,lithuania,malta,monaco,bosnia-h,ukraine,uk,switzerland,sweden,portugal,netherlands,poland,serbia,norway,romania,slovenia,slovakia,turkey","3. Early Revenue,2. Prototype",We invest in seed-stage tech- and data-driven B2B software companies across Europe with global ambition. ,VC,$500000,$2000000
IQ Capital,https://iqcapital.vc/,"7 Herbrand St, London WC1N 1EX",uk,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early-stage deeptech businesses which use hard-to-replicate technology in massive global markets – across sectors including software, hardware, materials, health tech and life sciences.",VC,$700000,$14000000
Banana Capital,https://www.bananacapital.vc/,"Ann Arbor, MI, USA","usa,canada,uk,france,germany,mexico,nigeria,kenya,egypt,india,""eswatini (fmr. """"swaziland"""")"",indonesia,thailand,vietnam,south korea,japan,brazil,argentina,colombia,peru","2. Prototype,1. Idea or Patent,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in consumer and bottoms-up enterprise products,VC,$25000,$300000
Stadia Ventures,http://www.stadiaventures.com/,"383 Marshall Avenue, St. Louis, MO 63122, United States","australia,canada,india,israel,new zealand,south africa,uk,usa","3. Early Revenue,4. Scaling","We invest in early-stage startups in sports and esports that have defined product market fit, generally with ARR between $250k-$1MM. ",VC,$50000,$250000
GPI Global Partners Investments,https://www.gpiuk.com/,"E16 2DQ, London, UK","algeria,argentina,australia,austria,bahamas,bahrain,bangladesh,barbados,belgium,brazil,bulgaria,canada,chile,china,croatia,cyprus,denmark,egypt,estonia,finland,germany,greece,hong kong,india,ireland,japan,italy,kuwait,lebanon,liechtenstein,luxembourg,mexico,morocco,netherlands,new zealand,norway,oman,pakistan,palestine,philippines,portugal,saudi arabia,singapore,south korea,spain,sweden,switzerland,taiwan,thailand,trinidad and tobago,tunisia,turkey,uk,ukraine,uae,usa,vietnam","1. Idea or Patent,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO,2. Prototype","We invest in startups and established businesses in a sector-agnostic mandate and bring it under our strict due diligence to our pool of sovereigns, institutional, funds, and individual investors. Ticket size varies according to the stage of the startup or the opportunity and we structure equity investment deals.",Other,$5000,$30000000
Ten Coves Capital,https://www.tencoves.com/,"1019 Post Rd, Darien, CT 06820, United States","usa,canada","5. Growth,4. Scaling,6. Pre-IPO","We invest in companies re-imagining, re-inventing and re-wiring the financial ecosystem.",PE fund,$5000000,$25000000
Capital Nature,https://www.capitalnature.com/,"Derech Menachem Begin 150, Tel-Aviv, IL",israel,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in energy, infrastructure and environment-related startups ",VC,$300000,$2000000
Nina Capital,https://www.nina.capital/,"Carrer de Tuset 20, 5, 08006 Barcelona Spain","spain,italy,germany,france,uk,portugal,poland,sweden,norway,ireland,finland,austria,belgium,switzerland,denmark,netherlands,usa,canada,israel","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in need-driven founders building health technology companies at seed stage.,VC,$150000,$750000
Datainsight,https://github.com/datainsightio/home,"London, UK",uk,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in startups that are helping companies realise the value in automation.,Angel network,$15000,$100000
Pembroke VCT,https://www.pembrokevct.com/,"3 Cadogan Gate, Chelsea, London, SW1x 0AS",uk,"4. Scaling,5. Growth",We invest in UK-based consumer brands with £1m in annualised revenue,VC,$1000000,$3000000
Otium Capital,https://www.otiumcapital.com/,"5 rue Saint Joseph, 75002, Paris, France","france,spain,usa,germany,belgium,italy,uk","3. Early Revenue,2. Prototype,4. Scaling,5. Growth","We invest in ambitious founders across EU/US from Pre-Seed to LBO with specialisation in Marketplaces, SaaS, Hospitality, Gaming and entertainment industries.",Family office,$500000,$5000000
Goldsmith Ventures,https://www.goldsmithventures.com/,London,uk,"3. Early Revenue,4. Scaling","We invest in FinTech, PropTech and InsurTech UK companies. ",VC,$800000,$1200000
Oxx Ventures,https://www.oxx.vc/,"20 North Audley Street, London, England W1K 6WE, GB","israel,uk,sweden,finland,denmark,norway","3. Early Revenue,4. Scaling",We invest in EU-based B2B software companies with potential to significantly scale,VC,$5000000,$15000000
AdTay Ventures,https://www.adtayventures.com/,"21 West Hampstead Mews, London, NW6 3BB, United Kingdom","uk,israel","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in Seed to late stage startups across Europe and Israel,VC,$100000,$10000000
Outlier Ventures,http://www.outlierventures.io/,"82 Clerkenwell Road, London, England EC1M 5RJ, GB","uk,usa,australia,germany,sweden,finland,bulgaria,serbia,spain,india,new zealand,canada,argentina,andorra,austria,belgium,brazil,france,mexico,china,singapore,japan,ireland,italy,greece,switzerland,croatia,denmark,czech republic,cyprus,estonia,holy see,iceland,israel,hungary,liechtenstein,lithuania,latvia,luxembourg,malta,monaco,norway,netherlands,portugal,russia,poland,ukraine,san marino,romania","2. Prototype,3. Early Revenue",We invest in Global Web 3 and blockchain startups building the Metaverse = DeFi + NFT + New Data at stages ranging from single founder+prototype in the works to more developed teams looking to decentralise centralised propositions and everything in-between. We are looking at everything from ledgers to storage to middleware to protocols to dev tools to apps.,"Incubator, Accelerator",$50000,$100000
XY Ventures,https://www.xyventures.vc/,"Valhallavägen 160, Stockholm, Sweden","sweden,usa","3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent","We invest in software startups. 

We leverage deal flow from our angel network and venture partners in the Bay Area, targeting companies with a Nordic heritage and follow-up investments in accelerator graduates from Techstars, Y-Combinator, Founder Institute, Singularity University, among others, which has previously generated 10x+ in returns.",VC,$250000,$1000000
